% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.113233243469          628.149958760681         50                       8.865843827591444E-9     -3.076804534364306E-4
287.10761871027887        628.0713424084801        28                       2.2429886325063078E-8    -1.5004850110096518E-4
287.1076745518559         628.0451369577464        30                       -2.4264641432215986E-8   -1.517601250621893E-4
287.1131901568913         628.1237533099475        52                       -2.536279001184514E-7    -3.0753702185198884E-4
287.11322660572415        628.0975478592137        52                       1.123171411970958E-8     -3.0856192751315694E-4
287.1418570365885         628.2743897303443        31                       9.661345666299492E-7     -7.903348709851561E-4
287.14245808641334        628.2476340920684        47                       4.5915643374726064E-7    -7.951847920870677E-4
287.16482839354353        628.3038252165945        32                       -1.4992600793693374E-6   -7.807328321743686E-4
287.16270312982556        628.2837442249053        34                       7.648842432724192E-7     -7.99863441956426E-4
287.18161982111985        628.3679985980967        65                       -1.6600511238439216E-6   -5.549416486787005E-4
287.1919529686946         628.3858078173291        36                       -1.0874019601835351E-7   -3.37547698046213E-4
287.1795475179553         628.3421663044433        66                       5.201903749721192E-10    -6.053340338774683E-4
287.1789924235276         628.3174441709639        68                       -2.9188629018266856E-6   -6.054892615035102E-4
287.107736115759          628.0189315070128        31                       -6.740213461396777E-9    -1.538232745201247E-4
287.1077627388266         627.9927260562793        31                       -3.476013389804891E-8    -1.546942409394071E-4
287.1028703719617         627.9403151548119        33                       1.7871722472355414E-19   -1.1487783710318995E-15
287.1028703719617         627.9141097040782        34                       2.1283932399194083E-19   -5.878762407335498E-16
287.1028703719617         627.8879042533446        34                       2.6019343575924114E-19   -1.8250895080113707E-15
287.10773250181404        627.9665206055455        35                       -2.012475066963981E-8    -1.5413316690951004E-4
287.12591379764314        628.1867649906135        43                       6.506940114644538E-7     -5.883238600546347E-4
287.12582858847395        628.1607471803594        51                       9.734015699359656E-7     -5.871521592819847E-4
287.14289717797635        628.222153315625         46                       5.234877821154199E-7     -7.98644240167548E-4
287.14329372695516        628.1963721005521        49                       2.1172587196877332E-7    -8.010167591828434E-4
287.1255875611918         628.1368583788245        53                       -1.4442798062088147E-6   -5.832789100424394E-4
287.11331671625936        628.0713424084801        54                       2.888075235578647E-7     -3.104092679947879E-4
287.1134395677289         628.0451369577464        82                       -2.061801567985297E-7    -3.1359025049831164E-4
287.1263546407255         628.1105736262474        52                       -4.5458098821331447E-7   -5.972524450066077E-4
287.12671550496776        628.0841945052008        55                       1.5535692766119402E-6    -6.036333356218993E-4
287.1611889088086         628.2582428138886        59                       -3.559834605732804E-7    -8.084610012597548E-4
287.16105561222275        628.2328855252075        58                       1.7748880298101209E-9    -8.090896341857347E-4
287.1789715926868         628.2936394412025        92                       -2.1772270423197176E-7   -6.041056762523949E-4
287.1798169081409         628.2695198169371        94                       3.7033196217935825E-7    -5.897818015691931E-4
287.19200422631314        628.3596023665501        37                       -1.2427067947337375E-6   -3.2193972992770783E-4
287.1979079159312         628.3858078173291        45                       -1.2952713182334794E-7   -1.6368314142501433E-4
287.19202076159786        628.3333969158165        37                       5.770946614622324E-7     -3.2502681211551076E-4
287.1919971085729         628.3071914650828        38                       -7.111636247708898E-7    -3.2226430440157795E-4
287.1028703719617         627.8616988026109        39                       6.824288667734988E-20    3.3544920277413577E-16
287.1135750083157         628.0189315070128        96                       6.763963780014702E-8     -3.1749465356622526E-4
287.11363357906447        627.9927260562793        96                       -1.0761694351963359E-7   -3.194074349781603E-4
287.1076886884817         627.9403151548119        41                       2.376528609071422E-8     -1.5276113807426763E-4
287.10767190920194        627.9141097040782        42                       5.5003333921566026E-8    -1.5192283346155113E-4
287.10768077159236        627.8879042533446        42                       2.1631031617449435E-8    -1.5172776645217665E-4
287.1135670576368         627.9665206055455        98                       -1.6385623760486686E-7   -3.183703331834046E-4
287.14281554087205        628.1704485761373        71                       9.348555525835836E-7     -7.975331750427415E-4
287.13855053130396        628.1484891756079        79                       -1.5157429519724974E-7   -7.608019481134845E-4
287.16184853556837        628.2057650643615        75                       8.2502639071718E-7       -8.045510081044301E-4
287.16195465065516        628.1787717342626        77                       1.8706435734822568E-6    -8.024060089632816E-4
287.1436737622276         628.1264008051606        78                       -1.2897532060595458E-6   -8.007523671491239E-4
287.1255031167463         628.0594444441539        83                       -4.631287074881701E-7    -5.814835400824368E-4
287.12634555724634        628.0345302530909        97                       -1.998145561416921E-7    -5.966889176412013E-4
287.14649747288024        628.0966552285073        84                       6.97176181689072E-7      -8.21236016362305E-4
287.1400604584116         628.0720466663797        87                       9.841599339493519E-8     -7.731939688214255E-4
287.17919346474946        628.2428901050936        119                      2.9136022035230947E-7    -5.99169112710247E-4
287.1806267666378         628.2163181804901        121                      5.869100500676328E-7     -5.751527171361937E-4
287.1919486511655         628.2809860143492        43                       -2.2021960702675565E-7   -3.2278329523074674E-4
287.1918712807502         628.2547805636157        51                       3.368307882002656E-7     -3.2514279247940084E-4
287.1979312148487         628.3596023665501        46                       -5.214275795977296E-7    -1.5620909951370653E-4
287.2028703719617         628.3858078173291        123                      NaN                      NaN
287.19793873088724        628.3333969158165        46                       2.0494742049898709E-7    -1.5724843938657443E-4
287.1979279795122         628.3071914650828        47                       -2.0159557368743229E-7   -1.5661502528684535E-4
287.1028703719617         627.8354933518774        49                       -2.3824499842616616E-19  -1.1320285732640053E-15
287.1028703719617         627.8092879011438        56                       4.058191020235005E-20    1.263439860082884E-15
287.1077154754619         627.8616988026109        50                       -3.1113447965862494E-8   -1.5293874312709307E-4
287.1259211480733         628.0095317605369        96                       -3.572707949774639E-7    -5.896829956664092E-4
287.1256574458344         627.9824065802106        99                       -7.324642724380463E-7    -5.845719920323305E-4
287.1134706683057         627.9403151548119        129                      8.640192844223234E-8     -3.1571602101895704E-4
287.11343375389015        627.9141097040782        131                      2.3639236188891836E-7    -3.14092820387876E-4
287.1134532511491         627.8879042533446        131                      8.284789429008277E-8     -3.1346645654044486E-4
287.1261518134284         627.9533870325977        101                      -2.901076596798007E-7    -5.94079952374451E-4
287.1616685455803         628.1476766893096        102                      1.944407152135302E-8     -8.09544972425008E-4
287.1812632789631         628.1880895300313        139                      5.818762224558897E-7     -5.638798885219617E-4
287.18061971436316        628.1604894574946        142                      -7.771047083819424E-7    -5.779076887608164E-4
287.1624354677187         628.1179710263782        110                      -2.728180292637239E-6    -8.001529220487549E-4
287.1651807519814         628.0944846558278        117                      -8.324627103101331E-7    -7.764664266245575E-4
287.14260242449114        628.0510800966237        115                      -4.0270161410226044E-7   -7.964138065592955E-4
287.1435058594769         628.024985462333         114                      -6.413631411479676E-7    -8.010526105189933E-4
287.15922318070034        628.0704136981192        116                      1.5925351844707906E-6    -8.224573725810013E-4
287.19178583354324        628.2285751128819        51                       -1.5447447215644132E-7   -3.2783810862374216E-4
287.19180059434547        628.2023696621484        52                       1.7031316326632244E-7    -3.280574011223864E-4
287.19790595341794        628.2809860143492        53                       -1.551634269397997E-8    -1.5646911286730885E-4
287.19787078504737        628.2547805636157        62                       6.294305417699018E-8     -1.5777451802020059E-4
287.2028703719617         628.3596023665501        153                      NaN                      NaN
287.2199991313928         628.3686376683156        154                      NaN                      NaN
287.22910198298064        628.3858078173287        155                      NaN                      NaN
287.2028703719617         628.3333969158165        159                      NaN                      NaN
287.2028703719617         628.3071914650828        158                      NaN                      NaN
287.10777465925736        627.8354933518774        57                       -3.261326421775732E-8    -1.549629465708163E-4
287.1028703719617         627.78308245041          56                       4.034957920547069E-21    3.6426142541084134E-16
287.10782990440924        627.8092879011438        68                       -5.0387261706771595E-9   -1.568710653691272E-4
287.1028703719617         627.7568769996764        58                       -1.580557226804673E-19   -1.1118913081963521E-15
287.1028703719617         627.7306715489427        64                       2.3253051511017776E-19   -1.3795512862026233E-15
287.11352959966206        627.8616988026109        133                      -1.418015461046232E-7    -3.158667032549408E-4
287.1438207327394         627.9984159433197        125                      9.23457396273586E-8      -8.029978461213595E-4
287.1453085170846         627.9701100075335        128                      -1.1706435327476972E-6   -8.105039464409119E-4
287.1260745109742         627.9256275584443        132                      8.706278868486688E-7     -5.934452523665169E-4
287.12576647483303        627.8999020012001        131                      1.657984723233295E-6     -5.865589947992283E-4
287.12582727899513        627.876489751402         134                      -9.389451865177315E-7    -5.875270780669276E-4
287.1468313274901         627.9396840710986        170                      4.978858772472062E-7     -8.225782771532314E-4
287.17867220605393        628.1345865883488        178                      -5.17871656214982E-7     -6.109724097034595E-4
287.19191272768995        628.1761642114146        60                       -3.6155957030123E-9      -3.2576896419213595E-4
287.1919911337082         628.149958760681         71                       1.7289410235954453E-7    -3.2314273754495523E-4
287.1789200675887         628.1080221911152        179                      -1.0862840883996286E-6   -6.049106197132346E-4
287.1794435996129         628.0825913696711        181                      1.5861504393693994E-6    -5.967651671510474E-4
287.16026037443567        628.0416924686956        147                      -1.7438410830146903E-7   -8.114971002772236E-4
287.16208491987555        628.0146622517316        150                      4.732991852968969E-8     -8.021928130124511E-4
287.17900489671234        628.0566660899736        188                      -2.1647226204972833E-7   -6.048308865517349E-4
287.1978319454078         628.2285751128819        62                       1.152028622239087E-8     -1.5926724253653658E-4
287.1978386548634         628.2023696621484        63                       5.709254115689573E-8     -1.5921462017161079E-4
287.2028703719617         628.2809860143492        160                      NaN                      NaN
287.2028703719617         628.2547805636157        191                      NaN                      NaN
287.22347637206707        628.3473494893595        159                      NaN                      NaN
287.2416765579928         628.3646208510112        194                      NaN                      NaN
287.256876508752          628.3858078173284        195                      NaN                      NaN
287.2263747178024         628.3217820333495        159                      NaN                      NaN
287.2873274432961         628.385807817328         201                      NaN                      NaN
287.22727213032135        628.2950335261195        161                      NaN                      NaN
287.1028703719617         627.7044660982091        65                       -5.325831174278824E-20   2.572399300276858E-16
287.1028703719617         627.6782606474754        66                       -2.3129136812332394E-19  7.738644339683977E-16
287.1028703719617         627.6520551967418        66                       -3.310080557755713E-20   -7.863918662772468E-16
287.1028703719617         627.6258497460082        77                       1.0197064260836752E-18   1.4174261719666365E-15
287.1136598040121         627.8354933518774        204                      -5.883762094221942E-8    -3.196624264005945E-4
287.10785550088366        627.78308245041          68                       -1.745781053709115E-9    -1.576028071623037E-4
287.11378134334626        627.8092879011438        206                      -8.280601666816987E-8    -3.2355462556519636E-4
287.10783231716266        627.7568769996764        69                       -2.233054738613974E-8    -1.5709106336177022E-4
287.10776833856386        627.7306715489427        79                       2.6153474300796704E-8    -1.5516268517713712E-4
287.1264258698161         627.8522666606165        163                      -1.6932615012871873E-8   -5.98264243760211E-4
287.1623453935287         627.9872808209572        164                      -1.0641104189374831E-6   -8.002991841607132E-4
287.1635027301208         627.9607818460302        166                      -1.4609061263048997E-6   -7.935616957907712E-4
287.1674414825076         627.9400561078276        214                      4.999675276597306E-7     -7.578945748684238E-4
287.1444452617577         627.9094967186642        169                      2.347121129202872E-6     -8.062021156978243E-4
287.1391487520775         627.8864701108488        171                      -1.2725480351286912E-7   -7.654535910076684E-4
287.1426732815762         627.8671660022565        174                      -1.3598727096306748E-6   -7.977244179669802E-4
287.162700553614          627.9177608419747        175                      1.584704714602509E-6     -7.977150278049926E-4
287.19200502566156        628.1237533099475        74                       -1.3690669981039786E-7   -3.224742804057837E-4
287.19788962456545        628.1761642114146        72                       -2.7691915981810517E-8   -1.5792160513383125E-4
287.1979252636647         628.149958760681         83                       -2.5712656771377373E-8   -1.5654718514946053E-4
287.19198819713847        628.0975478592137        74                       -2.685258450278297E-7    -3.2204547986343276E-4
287.19196777962753        628.0713424084801        75                       2.5599328818195514E-7    -3.2294788756440156E-4
287.17877599925896        628.0304674304159        224                      -5.266518298555833E-7    -6.07559223195005E-4
287.1795435005186         628.0030600467095        225                      -1.789564715284698E-8    -5.943397860353894E-4
287.1919927548788         628.0451369577464        86                       4.609599235535608E-8     -3.22577044438606E-4
287.2028703719617         628.2285751128819        228                      NaN                      NaN
287.2028703719617         628.2023696621484        227                      NaN                      NaN
287.32071267599133        628.3858078173275        232                      NaN                      NaN
287.2273203754989         628.2684557455498        192                      NaN                      NaN
287.22694763195585        628.2422884188476        228                      NaN                      NaN
287.2496327586623         628.338064565913         193                      NaN                      NaN
287.2705149442742         628.3596827701549        237                      NaN                      NaN
287.2521591137075         628.3096595421507        199                      NaN                      NaN
